Boro,street,fromSt,avg_vol,lat,lon,geometry
Bronx,CROSS BRONX EXPRESSWAY,Cross Bronx Expwy Et 4 A Eb,894.375,40.8345616,-73.8658927,POINT (-73.8658927 40.8345616)
Bronx,CROSS BRONX EXPRESSWAY,Crotona Parkway,855.0225694444445,40.8433497,-73.892988,POINT (-73.892988 40.8433497)
Bronx,CROSS BRONX EXPRESSWAY,Dead End,621.1510416666666,40.8345616,-73.8658927,POINT (-73.8658927 40.8345616)
Bronx,CROSS BRONX EXPRESSWAY SR NORTH,Longfellow Avenue,4.91875,40.8345616,-73.8658927,POINT (-73.8658927 40.8345616)
Bronx,CROSS BRONX EXPWY ET 2 A WB,Dead End,71.53402687472908,40.8345616,-73.8658927,POINT (-73.8658927 40.8345616)
Bronx,CROSS BRONX EXWY,PROSPECT AV,66.46200980392157,40.8345616,-73.8658927,POINT (-73.8658927 40.8345616)
Bronx,CROSS BX SVC RD N,VIRGINIA AV,83.83040935672514,40.834412,-73.86312099999999,POINT (-73.86312099999999 40.834412)
Bronx,CROTONA AV,CROTONA PARK N,46.397260273972606,40.8421902,-73.8941016,POINT (-73.8941016 40.8421902)
Bronx,CROTONA AV,E FORDHAM RD,37.634469696969695,40.8573577,-73.8818944,POINT (-73.8818944 40.8573577)
Bronx,DEEGAN EXWY SR,DEAD END,37.49875807252857,40.8636268,-73.9107173,POINT (-73.9107173 40.8636268)
Bronx,DEPOT PLACE,Sedgwick Avenue,46.38151260504202,40.8413044,-73.92802619999999,POINT (-73.92802619999999 40.8413044)
Bronx,DR THEODORE KAZIMIROFF BLVD EB APPROACH TO BX E,BRP NB EXIT 8 E/BRONX RIVER GREENWAY,123.58149316508938,40.831587,-73.882555,POINT (-73.882555 40.831587)
Bronx,DYRE AVENUE,Lustre Street,45.23924731182796,40.8906542,-73.83112799999999,POINT (-73.83112799999999 40.8906542)
Bronx,E 162 ST,MELROSE AV,2.3584117032392893,40.8248137,-73.9135182,POINT (-73.9135182 40.8248137)
Bronx,E 165TH ST APPROACH TO GRAND CONCOURSE BLVD,BUTTERNUT ST,68.17930204572804,40.865655,-73.8946449,POINT (-73.8946449 40.865655)
Bronx,E 165TH ST APPROACH TO WALTON AVE,WALTON AV,57.41028708133971,40.838343,-73.9169209,POINT (-73.9169209 40.838343)
Bronx,E 165TH ST BET E 164TH & CRAND CONCOURSE,CARROLL PL/BIKE PATH,68.48275862068965,40.8296354,-73.9209517,POINT (-73.9209517 40.8296354)
Bronx,E 170 ST,CHARLOTTE ST,9.733433734939759,40.8336612,-73.8921623,POINT (-73.8921623 40.8336612)
Bronx,E 172 ST,BOONE AV,7.545423023578364,40.8325659,-73.88538559999999,POINT (-73.88538559999999 40.8325659)
Bronx,E 172 ST,COLLEGE AV,4.071428571428571,40.8399398,-73.9091681,POINT (-73.9091681 40.8399398)
Bronx,E 172 ST,SHERIDAN AV,7.416666666666667,40.840606,-73.91152650000001,POINT (-73.91152650000001 40.840606)
Bronx,E 172ND ST BET LONGFELLOW & BRYANT AVES,BRYANT AV,17.312678741658722,40.8357422,-73.8920553,POINT (-73.8920553 40.8357422)
Bronx,E 172ND ST BET VYSE & BRYANT AVES,VYSE AV,11.090648854961833,40.8284466,-73.89007959999999,POINT (-73.89007959999999 40.8284466)
Bronx,E 233 ST,BUSSING AV,151.5,40.8921397,-73.8533992,POINT (-73.8533992 40.8921397)
Bronx,E 233 ST,EDENWALD AV/DIGNEY AV,149.0,40.8912687,-73.8506721,POINT (-73.8506721 40.8912687)
Bronx,E 233 ST,PAULDING AV/GUNTHER AV,79.45645330535152,40.8906582,-73.8487566,POINT (-73.8487566 40.8906582)
Bronx,E 233RD ST BET AMUNDSON & DURYEA AVES,AMUNDSON AV,70.00813953488372,40.8917814,-73.8522785,POINT (-73.8522785 40.8917814)
Bronx,E 233RD ST BET BYRON AVE & WHITE PLAINS RD,WHITE PLAINS RD,77.33333333333333,40.8917814,-73.8522785,POINT (-73.8522785 40.8917814)
Bronx,E 233RD ST BET CARPENTER AVE & WHITE PLAINS RD,CARPENTER AV,115.0,40.8917814,-73.8522785,POINT (-73.8522785 40.8917814)
Bronx,E 233RD ST BET DE REIMER & BAYCHESTER AVES,BAYCHESTER AV/GRENADA PL,71.66666666666667,40.8600486,-73.8264311,POINT (-73.8264311 40.8600486)
Bronx,E 233RD ST BET EDSON & BAYCHESTER AVES,EDSON AV,64.0,40.868814,-73.83367129999999,POINT (-73.83367129999999 40.868814)
Bronx,E 233RD ST BET GEORGE PL &PRATT AVE,DURYEA AV/PRATT AV,74.13372093023256,40.8917814,-73.8522785,POINT (-73.8522785 40.8917814)
Bronx,E 233RD ST BET JEROME AVE & VAN CORTLANDT PARK E,VAN CORTLANDT PARK E,226.2,40.8971354,-73.8860942,POINT (-73.8860942 40.8971354)
Bronx,E 233RD ST BET JEROME AVE & VAN CORTLANDT PARK EAST,VAN CORTLANDT PARK E,154.22222222222223,40.8971354,-73.8860942,POINT (-73.8860942 40.8971354)
Bronx,E 233RD ST BET LACONIA & ELY/STRANG AVES,LACONIA AV,139.5,40.88527,-73.8490339,POINT (-73.8490339 40.88527)
Bronx,E 233RD ST BET MURDOCK & HILL AVES,MURDOCK AV,79.6,40.8917814,-73.8522785,POINT (-73.8522785 40.8917814)
Bronx,E 233RD ST BET PETERS PL & WEBSTER AVE,PETERS PL,157.4,40.8917814,-73.8522785,POINT (-73.8522785 40.8917814)
Bronx,E GUN HILL RD,CAPUCHIN WY,73.25,40.87641929999999,-73.86338289999999,POINT (-73.86338289999999 40.87641929999999)
Bronx,E GUN HILL RD,EASTCHESTER RD,57.2,40.8681806,-73.8418348,POINT (-73.8418348 40.8681806)
Bronx,E GUN HILL RD,HERING AV,58.666666666666664,40.873286,-73.8535806,POINT (-73.8535806 40.873286)
Bronx,E GUN HILL RD,LACONIA AV,70.0,40.8739134,-73.85556009999999,POINT (-73.85556009999999 40.8739134)
Bronx,E MT EDEN AVE APPROACH TO GRAND CONCOURSE,WALTON AV,53.85889570552147,40.8431182,-73.9104374,POINT (-73.9104374 40.8431182)
Bronx,E TREMONT AV,MAYFLOWER AV,74.79839429081177,40.8350133,-73.8307179,POINT (-73.8307179 40.8350133)
Bronx,E TREMONT AVE APPROACH TO WATERBURY AVE,LA SALLE AV,105.34146341463415,40.8366474,-73.8338066,POINT (-73.8338066 40.8366474)
Bronx,E TREMONT AVE APPROACH TO WATERBURY AVE,PURITAN AV/WHITTEMORE AV,104.8409090909091,40.8369209,-73.8328958,POINT (-73.8328958 40.8369209)
Bronx,E/B BRUCKNER EXPWY MAIN @ BRONX RIVR AVE,BRE EB EN BRYANT AV,651.5565410199556,40.8247238,-73.8886757,POINT (-73.8886757 40.8247238)
Bronx,E/B E 169 ST@ REV JAMES A POLITE AVE,PROSPECT AV,55.0,40.8257002,-73.89912009999999,POINT (-73.89912009999999 40.8257002)
Bronx,E/B E 174 ST @ METCALF AVE,METCALF AV,35.0,40.8342889,-73.8736337,POINT (-73.8736337 40.8342889)
Bronx,E/B E 174 ST BRIDGE @ BRONX RIVER AVE,AMTRAK RR,102.36585365853658,40.8148483,-73.8682814,POINT (-73.8682814 40.8148483)
Bronx,E/B E GUN HILL RD @ TRYON AVE,WAYNE AV,100.74049803407601,40.879993,-73.87644999999999,POINT (-73.87644999999999 40.879993)
Bronx,E/B EAST GUN  HILL RD @ DEKALB AVE,JEROME AV/W GUN HILL RD,0.0,40.881985,-73.880287,POINT (-73.880287 40.881985)
Bronx,E/B EAST GUN HILL RD @ BAINBRIDGE AVE,ROCHAMBEAU AV,168.5,40.881348,-73.87883,POINT (-73.87883 40.881348)
Bronx,E/B EASTERN BLVD BRIDGE@BRONX RIVER AVE,BRUCKNER EXWY,380.679203539823,40.8232635,-73.8827776,POINT (-73.8827776 40.8232635)
Bronx,E/B UNIPORT BRIDGE @ BRUSH AVE,BRUCKNER BLVD,0.16666666666666666,40.8285809,-73.8412192,POINT (-73.8412192 40.8285809)
Bronx,E/B W 235 ST @ INDEPENDENCE AVE,DOUGLAS AV,7.666666666666667,40.8863794,-73.9139636,POINT (-73.9139636 40.8863794)
Bronx,E/B WESTCHESTER AVE BRIDGE@WHITLOCK AVE-,WHITLOCK AV,565.7708333333334,40.827099,-73.88621499999999,POINT (-73.88621499999999 40.827099)
Bronx,E/B WILLIAMSBRIDGE RD @ E TREMONT AVE,E TREMONT AV/ROBERTS AV,65.1877729257642,40.84184560000001,-73.8436579,POINT (-73.8436579 40.84184560000001)
Bronx,E167TH ST EB APPR BET W FARMS RD & BRYANT AVE,BRYANT AVENUE,31.09090909090909,40.8279957,-73.8889478,POINT (-73.8889478 40.8279957)
Bronx,E167TH ST WB APPR BET VYSE AVE & HOE AVE,HOE AV,16.303370786516854,40.82871129999999,-73.88994439999999,POINT (-73.88994439999999 40.82871129999999)
Bronx,E173RD ST&BRYANT AVE EB AP BT VYSE & BRYANT AVES,VYSE AV,17.09248554913295,40.8284466,-73.89007959999999,POINT (-73.89007959999999 40.8284466)
Bronx,E173RD ST&BRYANT AVE WB AP BT LONGFELLOW & BRYANT,BRYANT AV,14.838709677419354,40.819896,-73.8872043,POINT (-73.8872043 40.819896)
Bronx,EAST 138 STREET,Cypress Avenue,36.455357142857146,40.8055633,-73.9144931,POINT (-73.9144931 40.8055633)
Bronx,EAST 138 STREET,Jerome Avenue Line,145.0,40.8090915,-73.9228358,POINT (-73.9228358 40.8090915)
Bronx,EAST 138 STREET,Metro North Hudson Line,129.6,40.8090915,-73.9228358,POINT (-73.9228358 40.8090915)
Bronx,EAST 138 STREET,Walton Avenue,180.0625,40.81344670000001,-73.930531,POINT (-73.930531 40.81344670000001)
